"**Table 1** Soil properties in the three study blocks
<sup>a</sup> Asterisks indicate organic horizons
<sup>b</sup> Organic carbon
<sup>c</sup> Total content",,,,,,,,,,,,,,
Block,Location,Depth (cm) <sup>a</sup>,Clay (%),Silt (%),Sand (%),pH,Corg<sup>b</sup> (mg g-1) ,C<sup>c</sup> (mg g-1),N<sup>c</sup> (mg g-1),P<sup>c</sup> (mg g-1),K<sup>c</sup> (mg g-1),Ca<sup>c</sup> (mg g-1),Mg<sup>c</sup> (mg g-1),C:N
I,Tuejar Left,0-2*,NA,NA,NA,6.0,367,402.0,16.8,0.44,4.2,18.5,2.29,21.8
I,Tuejar Left,2-6,36.0,39.0,25.0,8.2,60,75.6,3.4,0.22,18.3,36.1,6.01,17.6
I,Tuejar Left,6-10,42.0,39.7,18.3,8.2,41,52.2,2.6,0.23,20.6,30.1,6.45,15.8
II,Tuejar Right,0-5*,NA,NA,NA,7.8,103,124.0,5.5,0.24,15.3,34.5,5.28,18.7
II,Tuejar Right,5-18,36.0,43.7,20.2,8.3,36,63.1,2.4,0.15,16.0,56.5,5.51,15.0
II,Tuejar Right,18-25,36.0,42.0,22.0,8.3,39,78.1,3.0,0.24,13.2,90.1,4.91,13.0
II,Tuejar Right,25-52,34.0,39.5,26.5,8.4,21,81.0,1.9,0.21,10.5,147.2,4.36,11.0
II,Tuejar Right,>52,28.0,37.7,34.2,8.5,12,94.5,0.9,0.12,6.4,169.5,3.26,13.3
III,Chelva,0-2*,NA,NA,NA,6.4,144,144.0,6.8,0.25,3.6,8.6,1.70,21.2
III,Chelva,2-16,18.0,15.7,66.2,8.0,10,13.7,1.0,0.07,6.3,4.1,2.19,10.0
III,Chelva,16-35,30.0,24.5,45.5,8.5,14,65.9,1.8,0.21,9.3,127.4,3.18,7.7
III,Chelva,>35,18.0,27.2,54.7,8.4,11,111.0,1.2,0.17,2.0,184.6,1.30,9.1
