"Figure 1. Weight loss as a percentage of initial weight for *Acacia caven* and *Lolium multiflorum* in a degraded ecosystem (De), typical ecosystem (Pd), and well preserved ecosystem (Wp). Vertical bars indicate standard deviation; *n* = 10; (p < 0.05).",,,,,,
X Value,Y Value,Upper Bound Y Value,X Axis Label,Y Axis Label,Ecosystem Degredation Level,Figure
0,100,NA,Time(days),Mass loss (% initial DW),Wp 2,A
60,70.16,72.31,Time(days),Mass loss (% initial DW),Wp 2,A
120,68.22,69.93,Time(days),Mass loss (% initial DW),Wp 2,A
180,65.37,67.3,Time(days),Mass loss (% initial DW),Wp 2,A
250,70.97,72.52,Time(days),Mass loss (% initial DW),Wp 2,A
330,73.32,74.94,Time(days),Mass loss (% initial DW),Wp 2,A
420,62.7,66.88,Time(days),Mass loss (% initial DW),Wp 2,A
0,100,NA,Time(days),Mass loss (% initial DW),Wp 1,A
60,87.73,88.52,Time(days),Mass loss (% initial DW),Wp 1,A
120,85.59,87.11,Time(days),Mass loss (% initial DW),Wp 1,A
180,84.15,87.11,Time(days),Mass loss (% initial DW),Wp 1,A
250,81.32,85.15,Time(days),Mass loss (% initial DW),Wp 1,A
330,81.27,83.53,Time(days),Mass loss (% initial DW),Wp 1,A
420,66.17,67.13,Time(days),Mass loss (% initial DW),Wp 1,A
0,100,NA,Time(days),Mass loss (% initial DW),Pd 2,A
60,83.67,85.34,Time(days),Mass loss (% initial DW),Pd 2,A
120,77.3,80.35,Time(days),Mass loss (% initial DW),Pd 2,A
180,75.68,77.06,Time(days),Mass loss (% initial DW),Pd 2,A
250,75.17,77.09,Time(days),Mass loss (% initial DW),Pd 2,A
330,74.47,76.3,Time(days),Mass loss (% initial DW),Pd 2,A
420,69.36,70.35,Time(days),Mass loss (% initial DW),Pd 2,A
0,100,NA,Time(days),Mass loss (% initial DW),Pd 1,A
60,90.42,91.81,Time(days),Mass loss (% initial DW),Pd 1,A
120,89.32,90.9,Time(days),Mass loss (% initial DW),Pd 1,A
180,84.38,86.01,Time(days),Mass loss (% initial DW),Pd 1,A
