Table 1. Litter chemical composition before field incubation. ± standard deviation.,,,
Label,Sublabel,Acacia caven,Lolium multiforum
Fiber and other fractions,"Cellulose, %",15 ± 0.09,37 ± 1.22
Fiber and other fractions,"Hemicellulose, %",20 ± 0.65,31 ± 0.69
Fiber and other fractions,"Lignin, %",28 ± 0.29,7 ± 0.24
Fiber and other fractions,"Non-structural compounds (NS), %",37 ± 0.35,25 ± 1.57
Fiber and other fractions,"Ash, %",7 ± 0.08,8 ± 0.18
Fiber and other fractions,"Phenols, mg g-1",53.0 ± 0.01,9.5 ± 1.11
Nutrient concentration,"N, %",1.83,0.41
Nutrient concentration,"C, %",45.14,39.80
Nutrient concentration,C/N ratio,25,97
Nutrient concentration,"P, %",0.06,0.05
